FISCAL_QTR_YEAR_NAME,FISCAL_WEEK_YEAR_NAME,Product Code,Product,Sessions,PDP Add to Cart Units,Units Sold,Quarter_Start_Date,Week_Start_Date
FY23Q3,FY23W28,MHQX3B/A,iPad Pro,5.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MHR03B/A,iPad Pro,2.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MHR33B/A,iPad Pro,424.0,23.0,5.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MHR53B/A,iPad Pro,4.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MHR73B/A,iPad Pro,8.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MHR93B/A,iPad Pro,1.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MHRE3B/A,iPad Pro,4.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MHW63B/A,iPad Pro,12.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MHW83B/A,iPad Pro,3.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MHNL3B/A,iPad Pro,7.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MHWF3B/A,iPad Pro,2.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MHXH3ZM/A,Connectivity Accessories,1039.0,135.0,43.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MHY93B/A,Apple TV,7.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MJ1L2ZM/A,Connectivity Accessories,1.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MJ1M2ZM/A,Connectivity Accessories,374.0,84.0,35.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MJ2E3B/A,HomePod,1030.0,113.0,44.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MJ4V3ZM/A,Watch Accessories,1.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MJFM3ZM/A,Other Home Accessories,1.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MJM93ZM/A,iPad Accessories,121.0,23.0,6.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MJMG3ZM/A,iPad Accessories,133.0,23.0,9.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MJMV3B/A,Mac Studio,148.0,11.0,2.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MJMW3B/A,Mac Studio,193.0,21.0,2.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MJNM3B/A,iPhone 12/mini,1426.0,141.0,40.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MJNP3B/A,iPhone 12/mini,629.0,36.0,10.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MHXF3ZM/A,Connectivity Accessories,172.0,11.0,3.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MJNQ3B/A,iPhone 12/mini,105.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MHNJ3B/A,iPad Pro,18.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MHLN3ZM/A,iPhone Accessories,7.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MM2U3ZM/A,iPhone Accessories,74.0,5.0,4.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,M09J3B/A,Series 6,3.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MC461B/B,Connectivity Accessories,3.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MD565B/B,Connectivity Accessories,31.0,4.0,3.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MD819ZM/A,Connectivity Accessories,167.0,45.0,22.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MD825ZM/A,Connectivity Accessories,18.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MD861ZM/A,Connectivity Accessories,2.0,0.0,0.0,2023-04-01,2023-04-08
